临	face
宴	feast
们	plural
莉	jasmine
动	move
敬	respect
使	cause
食	eat
巅	summit
醉	intoxicated
稻	rice
洪	flood
设	set up
率	lead
顽	mischievous
岩	cliff
守	guard
懒	lazy
兽	beast
烈	intense
呀	surprise
佛	Buddha
不	no
皱	wrinkle
待	stay
撑	support
渴	thirsty
台	Taiwan
篷	sail
丸	ball
惧	fear
塑	model
挎	carry
述	state
典	canon
赛	compete
尊	honor
瘩	sore
俐	clever
省	save
复	return
疆	border
纺	spin
笑	laugh
据	according to
逢	meet by chance
壁	wall
舒	relax
械	tool
烹	cooking
士	scholar
贴	stick
粉	powder
煤	coal
踏	tread
家	home
霉	mold
届	arrive at
影	shadow
雕	carve
刀	knife
夹	sandwich
欠	lack
惮	dread
株	tree trunk
算	calculate
造	make
暧	dim
元	original
庭	courtyard
饿	hungry
抄	copy
浮	float
萨	Bodhisattva
外	outside
赔	compensate
姻	marriage
监	supervise
堂	hall
杠	flagpole
课	subject
棺	coffin
厚	thick
毕	to finish
程	rule
渗	to seep
巷	lane
勘	to investigate
迷	to bewilder
国	country
霸	hegemon
受	to receive
伤	to injure
拓	to make a rubbing
子	son
筐	basket
谷	grain
灿	glorious
父	father
难	difficult
九	nine
携	to carry
料	material
凌	to approach
破	broken
峰	mountain peak
丈	measure
叫	to shout
狗	dog
估	to estimate
汗	perspiration
双	two
砖	brick
姑	paternal aunt
潜	hidden
专	special
侣	companion
凝	to congeal
肚	belly
筷	chopstick
群	group
买	buy
供	provide
酒	wine
黑	black
嗯	interjection
啰	used in 囉嗦|啰嗦[luo1 suo5]
真	really
之	him
逗	tease
拾	pick up
架	support
左	left
捆	bundle
君	monarch
弓	bow
揉	knead
茂	luxuriant
盘	plate
哏	funny
猜	guess
庄	farmstead
啡	/(used in loanwords for its phonetic value)/
笔	pen
大	big
遍	everywhere
序	order
轨	rail
叮	sting
楠	Chinese cedar
腐	decay
谅	show understanding
泊	anchor
怀	bosom
怖	terror
搭	put up
松	pine
圾	garbage
喉	throat
在	exist
枯	withered
震	shake
龄	age
低	low
返	return
旧	old
骗	cheat
能	able
济	aid
蛮	barbarian
徙	change
溪	creek
科	branch
中	China
营	camp
毒	poison
吧	bar
春	spring
嘲	ridicule
必	certainly
啾	wail
基	base
占	observe
赞	praise
腰	waist
沿	along
婪	avaricious
衫	garment
疙	pimple
翻	turn over
例	example
跌	fall
栽	plant
卸	unload
柜	cupboard
佬	male
找	to find
歉	apologize
滑	slippery
鼠	rat
盆	basin
叠	fold
泌	secrete
搂	hug
闹	noisy
炉	stove
液	liquid
沸	boil
萝	radish
响	sound
飘	float
仇	foe
恶	evil
祖	ancestor
洲	continent
阅	read
激	arouse
么	what
疾	disease
吗	what
减	decrease
形	shape
块	lump
额	forehead
爸	father
讯	question
甚	very
袭	raid
扩	enlarge
娃	baby
夕	dusk
宰	slaughter
岁	years
纷	numerous
时	time
妻	wife
胳	armpit
晾	air dry
所	place
菊	chrysanthemum
当	manage
舌	tongue
豫	Henan
唇	lip
祸	disaster
快	quick
押	mortgage
颁	promulgate
膛	hollow
囊	sack
解	solve
吁	implore
苍	ash-gray
枚	classifier
志	aspiration
替	substitute
裤	trousers
签	sign
谊	friendship
这	this
姬	woman
廷	palace
炸	deep fry
瘫	paralyzed
抚	comfort
进	advance
迅	rapid
闻	hear
网	network
惫	exhausted
丛	collection
六	six
逮	catch
驾	drive
斗	fight
鸭	duck
又	again
沙	sand
荐	recommend
兜	pocket
杏	apricot
滨	shore
横	horizontal
评	comment
积	accumulate
信	trust
馆	building
半	half
疑	doubt
涂	apply
应	respond
添	add
昏	twilight
度	degree
校	school
江	river
幅	width
饱	full
道	way
卑	low
坍	collapse
批	criticize
瘸	lame
吸	suck in
文	language
馈	food
胸	chest
斩	behead
遛	stroll
粘	glue
纪	era
啪	bang
晶	crystal
把	handle
泥	mud
村	village
汪	expanse
袜	socks
膏	ointment
亲	relative
陆	land
尘	dust
切	cut
摇	shake
缉	seize
媒	matchmaker
畏	fear
肖	resemble
规	rule
耐	endure
析	divide
剂	dose
死	die
随	follow
香	fragrant
嘿	hey
拣	choose
救	save
港	harbor
伸	stretch
腿	leg
股	thigh
落	fall
锁	lock
伺	wait
矶	breakwater
蛋	egg
除	get rid of
纸	paper
陷	trap
沦	sink
杀	kill
割	cut
纤	fine
热	hot
化	transform
烘	bake
罗	gather
叛	rebel
抗	resist
副	secondary
各	each
滋	nourish
勾	attract
蕾	bud
擅	expert
友	friend
忙	busy
肥	fat
便	convenient
晋	promote
翘	raise
卫	defend
俏	charming
滤	filter
惚	indistinct
哄	coax
慢	slow
咬	bite
乞	beg
较	compare
冠	crown
际	border
沟	ditch
恭	respectful
订	order
散	scatter
七	seven
线	thread
亿	100 million
感	feel
眉	eyebrow
的	of
寞	lonesome
瞎	blind
概	general
为	as
薪	firewood
诊	examine
失	lose
妨	hinder
雄	male
侮	insult
迎	welcome
券	certificate
麅	/variant of 狍[pao2]/
戚	grief
准	allow
倡	initiate
羡	envy
魄	soul
秒	second
微	tiny
〇	zero
欢	joyous
胃	stomach
害	harm
贤	virtuous
聋	deaf
昨	yesterday
浪	wave
哆	quiver
梨	pear
绘	draw
纫	thread
青	green
蔽	cover
厕	restroom
肯	agree
塘	pond
运	transport
瘾	addiction
隙	gap
改	change
伞	umbrella
痒	itch
矮	short
登	ascend
绍	continue
尸	corpse
汤	soup
骑	ride
厢	box
仰	look up
扫	sweep
畔	boundary
由	from
转	turn
损	decrease
脉	vein
悄	quiet
酸	sour
置	place
肿	swell
栋	building
念	read
号	cry
眨	blink
瘦	thin
恒	constant
筋	muscle
勉	make an effort
服	clothes
障	block
彩	color
俩	both
让	yield
康	healthy
陌	street
术	technique
悬	suspend
酱	paste
私	private
胀	swollen
迸	burst
统	unite
暑	heat
季	season
问	ask
误	mistake
利	advantage
倔	gruff
仗	rely on
宗	sect
挨	endure
品	product
堪	endure
隧	tunnel
角	angle
降	descend
岛	island
兑	exchange
根	root
迄	until
档	shelves
燕	swallow
靠	depend on
抬	lift
睹	observe
芽	bud
慰	comfort
阻	hinder
负	bear
麦	wheat
蔑	belittle
梢	tip
奉	offer
邀	invite
路	road
炭	charcoal
爪	claws
现	present
索	search
钦	respect
授	teach
峻	harsh
姨	aunt
被	cover
升	ascend
乙	second
林	forest
喷	spout
涕	tears
篮	basket
病	illness
廓	extensive
灌	irrigate
烛	candle
任	assign
源	source
异	different
濒	approach
锤	hammer
依	depend
蜘	spider
尖	pointed
惑	confuse
篇	piece of writing
嫂	sister-in-law
乳	milk
诽	slander
葩	flower corolla
壕	moat
正	straight
申	extend
遏	restrain
躁	impatient
陡	steep
恨	regret
膀	upper arm
橙	orange
拼	to stake all
苟	careless
筑	to build
菌	bacteria
户	household
径	footpath
备	prepare
盈	full
争	strive
映	reflect
银	silver
避	avoid
躬	body
唾	spit
对	opposite
魅	charm
站	stand
智	wisdom
你	you
端	end
近	near
讥	ridicule
俄	Russia
哦	oh
乱	disorder
勇	brave
饥	hungry
张	spread
般	kind
牌	playing card
兵	soldiers
视	look at
拆	tear open
刷	brush
坑	pit
级	level
努	exert
甩	throw
高	high
枕	pillow
声	sound
强	strong
吟	chant
窍	hole
捍	defend
膜	membrane
八	eight
倍	-fold
汇	converge
陶	pottery
咀	chew
腾	gallop
攒	collect
妹	younger sister
始	begin
懵	stupid
写	write
奥	obscure
寓	reside
锲	cut
臊	shame
捧	hold
墨	ink
舞	dance
井	well
列	arrange
取	take
单	single
协	cooperate
客	customer
恍	hazy
锻	forge
方	square
乐	happy
溅	splash
履	shoe
央	beg
遭	meet by chance
著	make known
胖	fat
叔	uncle
续	continue
资	resources
沐	bathe
丽	beautiful
午	noon
甭	need not
辈	generation
寨	stronghold
钟	clock
庇	protect
扬	raise
迫	compel
含	contain
犹	as if
非	not
灵	spirit
旬	ten days
郎	minister
投	throw
探	explore
铭	engrave
掷	toss
辨	distinguish
珠	pearl
素	plain
竖	erect
蓄	store up
舍	give up
益	benefit
学	learn
船	boat
乒	ping
厘	centi-
干	dry
扰	disturb
麻	hemp
踪	footprint
稿	manuscript
场	place
位	position
吹	blow
魔	evil
援	help
阵	wave
挫	fail
乖	obedient
往	go
摸	feel
鲁	stupid
勒	rein
训	teach
下	down
丢	lose
洒	sprinkle
罢	stop
搁	place
绿	green
码	number
忠	loyal
霾	haze
轰	explosion
矛	spear
断	break
值	value
怼	criticize
秀	refined
颗	small
颠	top
岗	post
羞	shy
掠	rob
少	few
草	grass
宅	residence
熟	ripe
扣	button
沫	foam
渣	slag
京	capital
债	debt
独	alone
愉	pleased
惦	think of
欣	happy
氏	clan
婴	infant
耽	indulge
岂	how
平	flat
黄	yellow
崎	mountainous
丹	red
广	wide
田	field
击	hit
库	warehouse
喊	yell
众	crowd
掉	fall
武	martial
途	way
哭	cry
墟	ruins
具	tool
审	examine
古	ancient
悔	regret
奖	prize
卵	egg
队	team
测	survey/measure
商	commerce/merchant
班	team/class
雪	snow
雹	hail
穴	cave
着	move/touch
血	blood
餐	meal
寝	sleep
宵	night
纹	line/pattern
厌	loathe/satiate
员	member
嚷	shout
手	hand
练	practice/train
傍	near
判	judge/decide
紫	purple
聊	chat
斥	blame/reprove
孔	hole
昼	daytime
玫	rose
观	observe
册	book
毁	destroy
膊	shoulder
猛	ferocious
犬	dog
沾	moisten
拦	block
执	execute/grasp
塔	pagoda
支	support
喂	feed
售	sell
工	work
碾	grind
禽	birds
腔	cavity
承	bear
范	pattern
扮	disguise
式	type
睁	open
寻	search
累	accumulate
廊	corridor
舶	ship
偶	pair
桥	bridge
迟	late
杯	cup
摧	break
跑	run
壶	pot
次	next
慕	admire
尾	tail
骤	sudden
狱	prison
埋	bury
心	heart
思	think
胎	fetus
巢	nest
嫖	visit a prostitute
丝	silk
暴	violent
汹	torrential
焰	flame
琢	cut
性	nature
萄	grape
讨	demand
获	obtain
刚	hard
鸦	crow
踢	kick
杂	mixed
娘	mother
灾	disaster
稠	dense
并	and
晃	dazzle
漠	desert
撒	let go
圣	holy
噪	chirp
头	head
秋	autumn
囧	emoticon
辕	cart
睬	pay attention
惕	fearful
洞	cave
莓	berry
熏	smoke
察	examine
带	carry
蝴	butterfly
景	scenery
辟	king
烁	bright
灯	lamp
鐵	iron
哪	which
稚	infantile
俱	all
哑	mute
马	horse
疗	treat
俗	custom
种	seed
胁	flank
洛	Luo
播	sow
帖	paste
曝	air
吞	swallow
显	visible
寡	few
肪	fat
免	excuse
誉	praise
核	nucleus
烫	scald
胆	courage
门	gate
求	seek
杰	hero
离	leave
令	order
撸	rub
技	skill
培	cultivate
排	arrange
璃	glaze
屿	islet
艇	vessel
辫	braid
铺	store
缺	lack
茄	eggplant
税	taxes
譬	example
隘	narrow
枝	branch
接	receive
瑰	extraordinary
粒	grain
揭	expose
疯	insane
旁	side
彰	clear
咽	throat
控	control
紊	disorderly
溶	dissolve
奈	frustration
督	supervise
防	defend
耀	brilliant
殃	calamity
摔	fall
拱	surround
哺	feed
跨	straddle
饭	meal
嗦	suck
痕	traces
书	book
驳	refute
界	boundary
则	standard
爽	invigorating
礼	ceremony
呢	particle
肩	shoulder
拒	resist
膨	swollen
啊	interjection
贵	expensive
衣	clothes
椒	pepper
肺	lung
宏	magnificent
谋	plan
眠	sleep
听	listen
偏	lean
澈	clear
乘	ride
畅	smooth
混	mix
霑	undefined
何	what
电	electricity
间	between
裙	skirt
孙	grandson
肌	muscle
附	attach
别	leave
鼻	nose
毛	hair
妇	woman
姥	grandma
汉	Chinese
灶	kitchen
赌	gamble
蹒	hobble
歪	askew
耕	plow
善	good
步	step
今	now
脏	dirty
捉	grab
碳	carbon
疼	hurts
酬	reward
唠	chatter
煎	pan fry
菜	vegetable
砂	sand
瓦	roof tile
衷	feelings
会	can
挣	struggle
从	from
通	through
您	you
狼	wolf
律	law
斧	hatchet
尬	embarrassing
懂	understand
肉	meat
捡	pick up
弥	full
纬	latitude
橡	oak
它	it
购	buy
啤	beer
扛	carry
佳	beautiful
歐	Europe
跃	jump
涨	rise
柬	Cambodia
打	beat
荣	glory
赚	earn
戾	ruthless
撤	remove
徒	apprentice
挤	squeeze
荤	non-vegetarian
注	annotate
萎	wither
榨	press
扁	flat
仅	only
旨	purpose
苏	revive
铅	lead
握	hold
牲	domestic animal
裕	abundant
咖	coffee
嗨	hey
骚	disturb
针	needle
寒	cold
碗	bowl
放	release
重	heavy
无	not have
老	old
毫	least
筒	tube
籍	registry
戳	poke
愿	wish
逝	pass away
侨	emigrant
雌	female
拐	turn
两	two
荷	lotus
凰	phoenix
格	frame
晤	meet
垮	collapse
公	public
拟	imitate
释	release
宁	peaceful
啃	gnaw
霜	frost
屉	drawer
健	healthy
司	manage
痛	pain
份	gift
衅	quarrel
锦	brocade
温	warm
御	to govern
盖	cover
爷	grandpa
腻	greasy
浑	muddy
知	to know
噩	startling
米	rice
捏	to pinch
须	must
贿	bribery
上	above
邻	neighbor
凉	cool
痹	paralysis
殊	different
坛	altar
代	generation
刘	surname Liu
浅	shallow
凹	concave
布	cloth
葬	to bury
赠	to give
帮	to help
竞	compete
货	goods
持	to hold
富	rich
尼	Buddhist nun
相	appearance
车	car
图	picture
母	mother
帅	commander
扭	to twist
尤	outstanding
侄	nephew
鸽	pigeon
模	imitate
蠢	stupid
绣	embroider
犯	violate
抵	press against
奔	hurry
硬	hard
辆	vehicle
挚	sincere
婊	prostitute
昧	conceal
伍	associate
驶	go fast
顿	stop
趴	lie on stomach
咪	meow
蓬	disheveled
椎	hammer
朴	simple
浓	concentrated
嚏	sneeze
陈	stale
碰	touch
逼	compel
亮	bright
集	gather
丘	mound
衍	spread out
期	period
齿	tooth
玛	agate
尴	awkward
诗	poem
差	difference
咳	cough
嗔	angry
婆	grandmother
久	long time
袍	gown
沛	abundant
岭	mountain range
责	responsibility
莲	lotus
姆	tutor
享	enjoy
伙	companion
归	return
俊	handsome
涮	rinse
者	one who
医	medicine
余	surplus
炎	inflammation
传	transmit
联	unite
妙	wonderful
瑜	excellence
尿	urine
产	produce
伯	elder
疲	weary
鱼	fish
弟	younger brother
堡	castle
却	however
地	-ly
诬	accuse falsely
粑	cake
髦	fashionable
铸	cast
小	small
忧	worry
泣	sob
帘	curtain
互	mutual
棕	palm
销	melt
梗	block
口	mouth
慈	compassionate
阶	stairs
虏	prisoner
拳	fist
脸	face
浴	bath
案	case
效	effect
硕	large
愚	stupid
貌	appearance
第	grades
惰	lazy
哈	infatuated
镇	to subdue
仔	young
愁	worry
游	to roam
前	front
荒	desolate
话	conversation
厦	tall building
漆	paint
北	north
透	penetrate
细	fine
荜	bean
瞒	conceal
龚	surname
妖	goblin
净	clean
段	section
过	to pass
桑	mulberry
浏	clear
棋	chess
纳	receive
仓	granary
柔	soft
豪	grand
眼	eye
耸	towering
均	equal
泄	leak
擦	rub
允	permit
啬	stingy
黎	Li ethnic group
延	prolong
火	fire
植	plant
拘	capture
臭	stench
署	office
刊	publish
计	calculate
店	shop
阿	Afghanistan
陋	plain
球	ball
闪	dodge
咙	throat
卧	lie
坚	strong
跳	jump
润	moist
倦	tired
抽	draw
辅	assist
牢	firm
描	depict
霞	sunset
稀	rare
伶	actor
崇	esteem
姐	older sister
窗	window
氧	oxygen
空	empty
勤	diligent
极	extreme
悠	leisurely
宇	universe
射	shoot
融	melt
凤	phoenix
舆	carriage
属	belong
鹅	goose
偷	steal
记	record
还	still
照	shine
晨	morning
身	body
渡	cross
噜	grumble
留	leave
舟	boat
哎	hey
交	hand over
也	also
宙	eternity
弧	arc
蔚	luxuriant
牙	tooth
史	history
逃	escape
侈	extravagant
验	examine
但	but
综	synthesize
阴	overcast
匹	mate
婚	marry
得	obtain
巧	skillful
款	funds
策	policy
敌	enemy
咆	roar
睦	amicable
败	defeat
政	political
煌	brilliant
瞄	take aim
院	courtyard
芯	pith
籽	seeds
海	ocean
喻	describe
走	walk
贩	trade
皇	emperor
木	wood
捎	deliver
催	urge
仍	still
终	end
尽	exhaust
涉	wade
挖	dig
祝	pray
槽	trough
那	that
检	check
再	again
尔	thus
迁	move
稍	somewhat
勿	do not
毯	blanket
赋	taxation
赴	attend
亭	pavilion
拄	lean on
预	advance
征	journey
钞	money
觅	seek
汁	juice
雷	thunder
岳	mountain peak
活	live
辙	rut
况	moreover
湾	bay
星	star
遇	encounter
浊	turbid
岔	fork
劫	rob
换	exchange
适	fit
屋	house
脆	brittle
钻	drill
拗	bend
访	visit
谴	censure
消	diminish
睛	eye
迹	footprint
竟	unexpectedly
楚	clear
梁	roof beam
航	navigate
沼	pond
说	speak
憋	choke
管	control
昔	former times
冰	ice
蝶	butterfly
儿	person
烟	smoke
绸	silk
梯	ladder
贬	diminish
背	back
湖	lake
南	south
泳	swimming
碍	hinder
楼	building
搬	move
骨	bone
里	inside
土	earth
沃	fertile
傲	proud
蚂	insect
趁	take advantage
鞭	whip
宽	wide
采	pick
恕	forgive
且	and
氓	common people
缀	combine
清	clear
宝	treasure
本	origin
功	achievement
巨	huge
娶	marry
弱	weak
桃	peach
饰	decoration
阐	express
咯	cough
顺	obey
弄	manage
劈	chop
劝	advise
远	far
鲜	fresh
颈	neck
铃	bell
楂	hawthorn
什	assorted
辞	resign
吐	vomit
澳	bay
拙	awkward
短	short
闺	boudoir
狮	lion
